시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,26655,26248,24595,22107,21504,21382,21476,21229,21396,21143,21424,21362,21334,21338,21265,21682,21587,21572,21180,0
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0
대전광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
울산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0
강원도,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0
전라북도,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,9,8,0,0
전라남도,4,10,35,55,74,0,2,14,23,9,37,26,23,21,19,0,84,92,58,0
경상북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0
경상남도,1,4,0,4,0,0,11,14,14,12,13,9,0,5,0,0,0,5,6,0
제주도,26650,26234,24560,22048,21430,21382,21463,21201,21354,21122,21363,21324,21308,21312,21241,21672,21486,21458,21101,0
